time,open,high,low,close,Volume,Volume MA,OSC,ADX
2023-07-18T17:16:00Z,192.38,192.38,192.36,192.36,8,92.55,0.02856463925455123,17.762952880767873
2023-07-18T17:18:00Z,192.43,192.5,192.43,192.5,15,86.4,0.029825699110131592,16.871391805127224
2023-07-18T17:19:00Z,192.465,192.465,192.465,192.465,2,82.5,0.02832713947938082,16.043513663460903
2023-07-18T17:20:00Z,192.42,192.42,192.41,192.41,253,72.6,0.021791992278844367,15.166001889046562
2023-07-18T17:21:00Z,192.42,192.42,192.42,192.42,1,71.2,0.017559164733894586,14.351169527090391
2023-07-18T17:23:00Z,192.4,192.45,192.4,192.45,68,54.15,0.011247842308191317,13.439439623749747
2023-07-18T17:24:00Z,192.46,192.47,192.46,192.46,10,52,0.010752834529575182,12.843556189831137
2023-07-18T17:25:00Z,192.44,192.45,192.44,192.45,11,51.3,0.012559440802437812,12.012554068727619
2023-07-18T17:26:00Z,192.43,192.43,192.41,192.41,56,52.2,0.009193735391883267,11.475734037915847
2023-07-18T17:27:00Z,192.41,192.41,192.4,192.4,82,53.7,0.005629996622705919,11.112591883197151
2023-07-18T17:28:00Z,192.4,192.4,192.4,192.4,109,58.8,0.003749058096253228,10.775388453815504
2023-07-18T17:29:00Z,192.41,192.46,192.41,192.46,329,74.9,-0.002041490510065928,10.471005627728987
2023-07-18T17:30:00Z,192.45,192.45,192.445,192.445,11,69.85,-0.004441727992307897,10.18836443207722
2023-07-18T17:31:00Z,192.42,192.445,192.41,192.42,109,69.6,-0.00392208293463958,9.572351665441271
2023-07-18T17:32:00Z,192.38,192.4,192.295,192.295,214,73.5,-0.006582423197147943,10.488002609849598
2023-07-18T17:33:00Z,192.3,192.32,192.3,192.32,37,74.8,-0.010616302333776709,11.338249915371614
2023-07-18T17:34:00Z,192.28,192.28,192.2,192.22,153,80.6,-0.01616066622460227,13.102611316573942
2023-07-18T17:35:00Z,192.22,192.25,192.22,192.25,84,83.05,-0.021358927746483423,14.740946903404675
2023-07-18T17:36:00Z,192.39,192.43,192.31,192.43,731,115.2,-0.020566888793309843,13.723117574180336
2023-07-18T17:37:00Z,192.41,192.41,192.325,192.38,307,129.5,-0.01937934132443037,12.777990339900589
2023-07-18T17:38:00Z,192.37,192.37,192.35,192.35,25,130.35,-0.019751033030285838,11.900372193783681
2023-07-18T17:39:00Z,192.38,192.43,192.38,192.43,136,136.4,-0.02304247264717977,11.800157103282901
2023-07-18T17:40:00Z,192.4,192.41,192.33,192.33,322,152.4,-0.02481315877010412,11.053811071990062
2023-07-18T17:41:00Z,192.31,192.33,192.31,192.33,27,141.1,-0.02615060172303903,10.416967677861185
2023-07-18T17:42:00Z,192.28,192.29,192.28,192.28,161,149.1,-0.02371328216012467,10.193884200615647
2023-07-18T17:43:00Z,192.26,192.32,192.26,192.32,46,148,-0.021238517461655285,9.5752578757092
2023-07-18T17:44:00Z,192.31,192.31,192.31,192.31,4,147.7,-0.013095064224492772,9.00081914543893
2023-07-18T17:45:00Z,192.34,192.35,192.26,192.285,678,181.05,-0.006943902918308693,9.128709094710844
2023-07-18T17:46:00Z,192.27,192.27,192.24,192.24,74,181.95,-0.011623286678545541,9.49550051746781
2023-07-18T17:48:00Z,192.24,192.31,192.24,192.31,25,179.1,-0.012787169751735645,9.204748088613298
2023-07-18T17:49:00Z,192.35,192.4,192.35,192.37,113,179.3,-0.011004722498311846,9.348430037855035
2023-07-18T17:52:00Z,192.47,192.47,192.44,192.47,55,165.6,-0.010657932360397122,10.222406952338403
2023-07-18T17:53:00Z,192.51,192.51,192.45,192.45,37,166.9,-0.004171581994386977,11.409480832074305
2023-07-18T17:54:00Z,192.465,192.465,192.44,192.45,12,162.05,0.001943434904325191,12.351125062356036
2023-07-18T17:55:00Z,192.45,192.45,192.45,192.45,14,152.05,0.010038942680954269,13.225508990474788
2023-07-18T17:56:00Z,192.42,192.49,192.42,192.45,129,156.65,0.01295976531384346,14.446795992434872
2023-07-18T17:57:00Z,192.51,192.6,192.51,192.57,226,160.3,0.020286285407326143,16.49523355386259
2023-07-18T17:58:00Z,192.56,192.56,192.51,192.51,241,168.15,0.02480219506922691,18.397354146616898
2023-07-18T17:59:00Z,192.5,192.5,192.46,192.48,40,133.6,0.031582634007235724,19.26088246367659
2023-07-18T18:00:00Z,192.47,192.47,192.46,192.46,106,123.55,0.03863646207893248,20.06273018666059
2023-07-18T18:01:00Z,192.46,192.49,192.45,192.49,58,125.2,0.042149970238321566,21.00269307299085
2023-07-18T18:02:00Z,192.46,192.46,192.46,192.46,15,119.15,0.03890660558498676,21.875515753154666
2023-07-18T18:03:00Z,192.46,192.53,192.46,192.53,96,107.85,0.04058858396647454,23.34296376965527
2023-07-18T18:04:00Z,192.51,192.62,192.51,192.61,139,113.45,0.041971627081802784,25.36432833330821
2023-07-18T18:05:00Z,192.6,192.61,192.56,192.61,327,121.75,0.04335447854060525,27.24130971384308
2023-07-18T18:06:00Z,192.59,192.59,192.56,192.56,68,122.85,0.04213901917357274,28.98422099576832
2023-07-18T18:07:00Z,192.555,192.58,192.54,192.58,82,126.75,0.036222874597539284,30.141629946114946
2023-07-18T18:08:00Z,192.56,192.58,192.56,192.58,38,94.75,0.03317734291861666,31.216366828579662
2023-07-18T18:09:00Z,192.61,192.65,192.61,192.63,32,92.65,0.032432352199710274,32.791092655860815
2023-07-18T18:10:00Z,192.6,192.6,192.54,192.57,273,105.05,0.029980779649405456,32.75439233111646
2023-07-18T18:11:00Z,192.53,192.53,192.53,192.53,19,100.35,0.026615151343460673,32.52538807501609
2023-07-18T18:12:00Z,192.55,192.56,192.53,192.56,157,105.45,0.02710858273630051,32.627195416272954
2023-07-18T18:13:00Z,192.56,192.58,192.53,192.57,44,105.8,0.026712176301073316,32.924297686683026
2023-07-18T18:14:00Z,192.605,192.605,192.58,192.58,13,105.85,0.021937906080753574,33.44689619313887
2023-07-18T18:15:00Z,192.55,192.6,192.55,192.6,207,115.5,0.017707957204827325,33.271474420301885
2023-07-18T18:16:00Z,192.63,192.66,192.63,192.66,21,110.1,0.017707037558930157,33.72171902278652
2023-07-18T18:17:00Z,192.67,192.67,192.65,192.65,18,99.7,0.016395510153325837,34.23406007206072
2023-07-18T18:18:00Z,192.65,192.78,192.65,192.78,35,89.4,0.02158753709270487,35.57752094959364
2023-07-18T18:19:00Z,192.76,192.79,192.73,192.73,232,99,0.021339096291231676,36.89118014477174
2023-07-18T18:20:00Z,192.73,192.73,192.73,192.73,1,93.75,0.023464137452598753,38.11100654029426
2023-07-18T18:21:00Z,192.705,192.705,192.56,192.56,226,102.15,0.02254875054774886,36.16427552413703
2023-07-18T18:22:00Z,192.565,192.62,192.55,192.62,170,109.9,0.022449130962206253,34.21859027274837
2023-07-18T18:24:00Z,192.55,192.55,192.55,192.55,5,105.35,0.01918517401470399,32.41188253931605
2023-07-18T18:25:00Z,192.59,192.63,192.59,192.63,47,100.75,0.019308312464094562,31.63975192350419
2023-07-18T18:26:00Z,192.7,192.7,192.7,192.7,100,89.4,0.022274522989698856,31.572112629601783
2023-07-18T18:27:00Z,192.76,192.785,192.76,192.785,216,96.8,0.024436640871082608,32.16113691647314
2023-07-18T18:28:00Z,192.85,192.88,192.85,192.88,27,94.05,0.02846390102591376,33.29614796820745
2023-07-18T18:29:00Z,192.86,192.86,192.82,192.85,29,93.6,0.02542177028032123,33.879971970348535
2023-07-18T18:31:00Z,192.82,192.82,192.76,192.76,197,101.85,0.022528840747860518,33.539098306180506
2023-07-18T18:32:00Z,192.74,192.77,192.74,192.74,107,93.55,0.02032854387141745,32.94209567433739
2023-07-18T18:33:00Z,192.755,192.76,192.69,192.69,84,96.8,0.024109308714772664,31.710986776928728
2023-07-18T18:34:00Z,192.67,192.67,192.65,192.65,9,89.4,0.0226998906408366,30.06188704341467
2023-07-18T18:35:00Z,192.57,192.57,192.51,192.54,143,94.35,0.022675288631771304,28.753236136163178
2023-07-18T18:36:00Z,192.56,192.56,192.56,192.56,100,98.7,0.019289489391465523,27.538060293715365
2023-07-18T18:37:00Z,192.6,192.6,192.575,192.6,136,95.15,0.013605139555314026,25.94285448436685
2023-07-18T18:38:00Z,192.63,192.64,192.63,192.63,49,96.55,0.004819223512570415,24.163280772374087
2023-07-18T18:39:00Z,192.61,192.61,192.6,192.6,27,97,-0.008229872955284614,22.6934466294523
2023-07-18T18:40:00Z,192.62,192.65,192.61,192.63,142,102.35,-0.019153702904383747,21.271757542287865
2023-07-18T18:41:00Z,192.6,192.65,192.6,192.65,32,92.35,-0.02165055850216649,19.831938826066644
2023-07-18T18:42:00Z,192.67,192.67,192.65,192.65,37,94.15,-0.024345002044545688,18.734532838806313
2023-07-18T18:43:00Z,192.68,192.68,192.68,192.68,2,82.95,-0.023628537637533087,17.837900919972224
2023-07-18T18:44:00Z,192.65,192.65,192.63,192.63,73,78.1,-0.026396277827566296,16.79018474381018
2023-07-18T18:45:00Z,192.61,192.65,192.6,192.65,75,81.6,-0.021428280138853388,16.189710719938436
2023-07-18T18:46:00Z,192.63,192.63,192.6,192.6,170,87.75,-0.020587701010545845,15.632127697771816
2023-07-18T18:47:00Z,192.58,192.66,192.58,192.66,182,91.85,-0.018214913737988055,14.65935116584898
2023-07-18T18:48:00Z,192.67,192.68,192.66,192.66,40,83.05,-0.015669429412129583,13.763481770004457
2023-07-18T18:49:00Z,192.63,192.64,192.62,192.64,143,88.85,-0.010010010009324473,13.214224807904094
2023-07-18T18:50:00Z,192.635,192.67,192.61,192.67,34,89.1,-0.002743626628800961,12.297507237202668
2023-07-18T18:52:00Z,192.66,192.68,192.63,192.63,104,84.45,0.0016561529798020073,11.598367046345613
2023-07-18T18:53:00Z,192.62,192.62,192.58,192.58,33,80.75,0.002471980106191105,11.346418045101418
2023-07-18T18:54:00Z,192.57,192.59,192.54,192.59,92,81.15,0.0015079637798889566,11.648691611619808
2023-07-18T18:55:00Z,192.55,192.59,192.54,192.59,494,105.4,0.0019035423199044103,11.929374209101171
2023-07-18T18:56:00Z,192.6,192.64,192.6,192.64,120,104.25,0.0016316117364268716,11.316112883296196
2023-07-18T18:57:00Z,192.63,192.65,192.58,192.58,101,104.3,-0.00039553832695408996,11.047743499688325
2023-07-18T18:58:00Z,192.6,192.6,192.6,192.6,24,98.7,-0.004499203986265764,10.798543357766732
2023-07-18T18:59:00Z,192.57,192.57,192.57,192.57,2,96.35,-0.008429889767976118,11.032761241506677
2023-07-18T19:00:00Z,192.61,192.64,192.61,192.63,17,95.85,-0.008949032539671891,10.465693511225595
2023-07-18T19:01:00Z,192.6,192.61,192.57,192.61,224,99.95,-0.012311069579094175,10.121443283475937
2023-07-18T19:02:00Z,192.62,192.66,192.62,192.66,133,105,-0.011495190559899044,9.768160265406644
2023-07-18T19:03:00Z,192.61,192.65,192.55,192.55,192,112.75,-0.010580781048828163,9.705764586126046
2023-07-18T19:04:00Z,192.55,192.55,192.52,192.54,81,116.7,-0.010457458169481633,10.026257032432218
2023-07-18T19:05:00Z,192.5,192.5,192.46,192.48,90,117.55,-0.011224398974789518,11.006089389609794
2023-07-18T19:06:00Z,192.52,192.52,192.52,192.52,3,113.95,-0.014735514815176579,11.576324540496723
2023-07-18T19:07:00Z,192.57,192.6,192.56,192.6,258,118.35,-0.012461059189352867,10.898871356441616
2023-07-18T19:08:00Z,192.62,192.62,192.59,192.61,302,124.35,-0.012189061491041106,10.239491092103062
2023-07-18T19:09:00Z,192.67,192.67,192.67,192.67,100,127.35,-0.007244191048175672,10.260758979414417
2023-07-18T19:11:00Z,192.71,192.75,192.69,192.74,272,133.8,-0.0035107671761189794,11.140094088579719
